iter	Passed	Remaining
529	8718	7731
530	8733	7713
531	8747	7695
532	8759	7675
533	8775	7658
534	8790	7640
535	8807	7624
536	8823	7607
537	8842	7593
538	8861	7579
539	8879	7564
540	8897	7548
541	8915	7534
542	8932	7517
543	8947	7500
544	8963	7483
545	8979	7466
546	8994	7448
547	9010	7432
548	9026	7414
549	9041	7397
550	9058	7381
551	9076	7366
552	9095	7352
553	9112	7336
554	9129	7319
555	9144	7302
556	9159	7284
557	9174	7267
558	9190	7250
559	9203	7230
560	9217	7213
561	9233	7196
562	9251	7180
563	9269	7165
564	9286	7149
565	9301	7132
566	9317	7115
567	9334	7099
568	9348	7081
569	9363	7063
570	9377	7045
571	9393	7028
572	9411	7013
573	9425	6995
574	9440	6977
575	9457	6961
576	9474	6945
577	9493	6931
578	9513	6917
579	9528	6899
580	9542	6881
581	9556	6863
582	9572	6847
583	9587	6829
584	9603	6812
585	9620	6796
586	9635	6779
587	9650	6762
588	9666	6745
589	9686	6730
590	9705	6716
591	9723	6701
592	9738	6684
593	9753	6666
594	9768	6649
595	9784	6632
596	9798	6614
597	9816	6599
598	9834	6583
599	9850	6567
600	9866	6550
601	9882	6533
602	9900	6518
603	9920	6504
604	9936	6487
605	9952	6470
606	9967	6453
607	9983	6436
608	9998	6419
609	10014	6402
610	10030	6385
611	10046	6369
612	10062	6352
613	10077	6335
614	10094	6319
615	10112	6304
616	10133	6290
617	10149	6273
618	10164	6256
619	10180	6239
620	10198	6224
621	10215	6208
622	10232	6192
623	10249	6175
624	10267	6160
625	10285	6145
626	10302	6128
627	10320	6113
628	10344	6101
629	10363	6086
630	10380	6070
631	10396	6053
632	10411	6036
633	10427	6019
634	10442	6002
635	10458	5985
636	10473	5968
637	10488	5951
638	10506	5935
639	10530	5923
640	10550	5909
641	10568	5893
642	10583	5876
643	10598	5858
644	10615	5842
645	10631	5825
646	10647	5809
647	10662	5792
648	10678	5775
649	10693	5758
650	10709	5741
651	10726	5724
652	10742	5708
653	10760	5692
654	10779	5677
655	10792	5659
656	10805	5641
657	10822	5625
658	10838	5608
659	10854	5591
660	10869	5574
661	10885	5557
662	10903	5542
663	10919	5525
664	10935	5509
665	10952	5492
666	10970	5477
667	10990	5462
668	11006	5445
669	11021	5428
670	11040	5413
671	11056	5396
672	11072	5380
673	11088	5363
674	11104	5346
675	11119	5329
676	11137	5313
677	11156	5298
678	11174	5282
679	11193	5267
680	11209	5250
681	11224	5233
682	11241	5217
683	11258	5201
684	11275	5185
685	11292	5169
686	11310	5152
687	11328	5137
688	11344	5120
689	11361	5104
690	11380	5089
691	11400	5074
692	11416	5057
693	11433	5041
694	11448	5024
695	11465	5008
696	11481	4991
697	11498	4975
698	11517	4959
699	11534	4943
700	11552	4927
701	11573	4912
702	11594	4898
703	11609	4881
704	11625	4864
705	11640	4847
706	11656	4830
707	11672	4814
708	11688	4797
709	11704	4780
710	11719	4763
711	11737	4747
712	11753	4731
713	11769	4714
714	11788	4699
715	11806	4683
716	11822	4666
717	11837	4649
718	11851	4631
719	11866	4614
720	11896	4603
721	11960	4605
722	11988	4593
723	12009	4578
724	12026	4561
725	12041	4544
726	12057	4527
727	12073	4511
728	12090	4494
729	12107	4478
730	12123	4461
731	12143	4445
732	12159	4429
733	12175	4412
734	12191	4395
735	12211	4380
736	12230	4364
737	12245	4347
738	12261	4330
739	12276	4313
740	12292	4296
741	12308	4279
742	12325	4263
743	12342	4246
744	12359	4230
745	12374	4213
746	12389	4196
747	12408	4180
748	12425	4164
749	12444	4148
750	12458	4130
751	12473	4113
752	12489	4096
753	12505	4079
754	12519	4062
755	12536	4046
756	12554	4029
757	12573	4014
758	12588	3997
759	12604	3980
760	12621	3964
761	12640	3947
762	12658	3931
763	12674	3915
764	12689	3898
765	12703	3880
766	12719	3864
767	12738	3847
768	12753	3831
769	12769	3814
770	12786	3797
771	12803	3781
772	12818	3764
773	12837	3748
774	12859	3733
775	12876	3717
776	12894	3700
777	12910	3683
778	12926	3667
779	12943	3650
780	12958	3633
781	12976	3617
782	12992	3600
783	13008	3584
784	13024	3567
785	13040	3550
786	13059	3534
787	13078	3518
788	13094	3501
789	13109	3484
790	13126	3468
791	13145	3452
792	13161	3435
793	13177	3418
794	13194	3402
795	13211	3385
796	13226	3368
797	13242	3351
798	13258	3335
799	13276	3319
800	13292	3302
801	13307	3285
802	13322	3268
803	13338	3251
804	13353	3234
805	13371	3218
806	13387	3201
807	13405	3185
808	13421	3168
809	13438	3152
810	13456	3135
811	13477	3120
812	13496	3104
813	13512	3087
814	13527	3070
815	13543	3053
816	13559	3037
817	13576	3020
818	13592	3003
